Dataset,Model,Base Model,Category,Target Transform,Roles,Series ID,Time,Actual,Prediction,Test RMSE,Test MAPE
World Bank USA Real GDP Yearly,Chronos2,Chronos2,foundation,raw,,series_0,2020-01-01,19627.633,20416.33984375,746.7447509765625,2.9205322265625
World Bank USA Real GDP Yearly,Chronos2,Chronos2,foundation,raw,,series_0,2021-01-01,20816.096,20594.12109375,746.7447509765625,2.9205322265625
World Bank USA Real GDP Yearly,Chronos2,Chronos2,foundation,raw,,series_0,2022-01-01,21339.074,20835.046875,746.7447509765625,2.9205322265625
World Bank USA Real GDP Yearly,Chronos2,Chronos2,foundation,raw,,series_0,2023-01-01,21955.252,21073.5078125,746.7447509765625,2.9205322265625
World Bank USA Real GDP Yearly,Chronos2,Chronos2,foundation,raw,,series_0,2024-01-01,22568.463,21289.109375,746.7447509765625,2.9205322265625
World Bank USA Real GDP Yearly,TimeGPT,TimeGPT,foundation,raw,best_foundation,series_0,2019-01-01,20061.57,20239.0,568.1316948359802,2.2595536069267603
World Bank USA Real GDP Yearly,TimeGPT,TimeGPT,foundation,raw,best_foundation,series_0,2020-01-01,19627.633,20465.332,568.1316948359802,2.2595536069267603
World Bank USA Real GDP Yearly,TimeGPT,TimeGPT,foundation,raw,best_foundation,series_0,2021-01-01,20816.096,20686.553,568.1316948359802,2.2595536069267603
World Bank USA Real GDP Yearly,TimeGPT,TimeGPT,foundation,raw,best_foundation,series_0,2022-01-01,21339.074,21080.582,568.1316948359802,2.2595536069267603
World Bank USA Real GDP Yearly,TimeGPT,TimeGPT,foundation,raw,best_foundation,series_0,2023-01-01,21955.252,21370.582,568.1316948359802,2.2595536069267603
World Bank USA Real GDP Yearly,TimeGPT,TimeGPT,foundation,raw,best_foundation,series_0,2024-01-01,22568.463,21686.43,568.1316948359802,2.2595536069267603
World Bank USA Real GDP Yearly,GraniteTTM,GraniteTTM,foundation,raw,,series_0,2019-01-01,20061.57,20078.615234375,933.7260131835938,3.65971302986145
World Bank USA Real GDP Yearly,GraniteTTM,GraniteTTM,foundation,raw,,series_0,2020-01-01,19627.633,20192.2421875,933.7260131835938,3.65971302986145
World Bank USA Real GDP Yearly,GraniteTTM,GraniteTTM,foundation,raw,,series_0,2021-01-01,20816.096,20266.45703125,933.7260131835938,3.65971302986145
World Bank USA Real GDP Yearly,GraniteTTM,GraniteTTM,foundation,raw,,series_0,2022-01-01,21339.074,20513.935546875,933.7260131835938,3.65971302986145
World Bank USA Real GDP Yearly,GraniteTTM,GraniteTTM,foundation,raw,,series_0,2023-01-01,21955.252,20725.53125,933.7260131835938,3.65971302986145
World Bank USA Real GDP Yearly,GraniteTTM,GraniteTTM,foundation,raw,,series_0,2024-01-01,22568.463,21013.849609375,933.7260131835938,3.65971302986145
World Bank USA Real GDP Yearly,N-BEATS,N-BEATS,dl,raw,,series_0,2019-01-01,20061.57,14498.4228515625,5212.7431640625,22.127500534057617
World Bank USA Real GDP Yearly,N-BEATS,N-BEATS,dl,raw,,series_0,2020-01-01,19627.633,17599.384765625,5212.7431640625,22.127500534057617
World Bank USA Real GDP Yearly,N-BEATS,N-BEATS,dl,raw,,series_0,2021-01-01,20816.096,12037.28125,5212.7431640625,22.127500534057617
World Bank USA Real GDP Yearly,N-BEATS,N-BEATS,dl,raw,,series_0,2022-01-01,21339.074,16477.544921875,5212.7431640625,22.127500534057617
World Bank USA Real GDP Yearly,N-BEATS,N-BEATS,dl,raw,,series_0,2023-01-01,21955.252,16985.697265625,5212.7431640625,22.127500534057617
World Bank USA Real GDP Yearly,N-BEATS,N-BEATS,dl,raw,,series_0,2024-01-01,22568.463,24173.2109375,5212.7431640625,22.127500534057617
World Bank USA Real GDP Yearly,AutoARIMA [log],AutoARIMA,statistical,log,,series_0,2019-01-01,20061.57,20120.270570494707,615.7337276903572,2.5872311742827496
World Bank USA Real GDP Yearly,AutoARIMA [log],AutoARIMA,statistical,log,,series_0,2020-01-01,19627.633,20691.3629707979,615.7337276903572,2.5872311742827496
World Bank USA Real GDP Yearly,AutoARIMA [log],AutoARIMA,statistical,log,,series_0,2021-01-01,20816.096,21278.665219201364,615.7337276903572,2.5872311742827496
World Bank USA Real GDP Yearly,AutoARIMA [log],AutoARIMA,statistical,log,,series_0,2022-01-01,21339.074,21882.637414938243,615.7337276903572,2.5872311742827496
World Bank USA Real GDP Yearly,AutoARIMA [log],AutoARIMA,statistical,log,,series_0,2023-01-01,21955.252,22503.752716667223,615.7337276903572,2.5872311742827496
World Bank USA Real GDP Yearly,AutoARIMA [log],AutoARIMA,statistical,log,,series_0,2024-01-01,22568.463,23142.497713150387,615.7337276903572,2.5872311742827496
World Bank USA Real GDP Yearly,Prophet [log],Prophet,statistical,log,,series_0,2019-01-01,20061.57,19417.770887856543,923.4786382699912,3.844526055557426
World Bank USA Real GDP Yearly,Prophet [log],Prophet,statistical,log,,series_0,2020-01-01,19627.633,19742.650522436852,923.4786382699912,3.844526055557426
World Bank USA Real GDP Yearly,Prophet [log],Prophet,statistical,log,,series_0,2021-01-01,20816.096,20077.716333542776,923.4786382699912,3.844526055557426
World Bank USA Real GDP Yearly,Prophet [log],Prophet,statistical,log,,series_0,2022-01-01,21339.074,20449.66844041433,923.4786382699912,3.844526055557426
World Bank USA Real GDP Yearly,Prophet [log],Prophet,statistical,log,,series_0,2023-01-01,21955.252,20799.881178996657,923.4786382699912,3.844526055557426
World Bank USA Real GDP Yearly,Prophet [log],Prophet,statistical,log,,series_0,2024-01-01,22568.463,21147.884965411402,923.4786382699912,3.844526055557426
World Bank USA Real GDP Yearly,TFT,TFT,dl,raw,,series_0,2019-01-01,20061.57,25228.166015625,11287.74609375,47.38720703125
World Bank USA Real GDP Yearly,TFT,TFT,dl,raw,,series_0,2020-01-01,19627.633,14051.2587890625,11287.74609375,47.38720703125
World Bank USA Real GDP Yearly,TFT,TFT,dl,raw,,series_0,2021-01-01,20816.096,1487.7618408203125,11287.74609375,47.38720703125
World Bank USA Real GDP Yearly,TFT,TFT,dl,raw,,series_0,2022-01-01,21339.074,6561.595703125,11287.74609375,47.38720703125
World Bank USA Real GDP Yearly,TFT,TFT,dl,raw,,series_0,2023-01-01,21955.252,14400.1357421875,11287.74609375,47.38720703125
World Bank USA Real GDP Yearly,TFT,TFT,dl,raw,,series_0,2024-01-01,22568.463,14975.6123046875,11287.74609375,47.38720703125
