Dataset,Series ID,Partition,Time,Value
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2002-12-01,30.865
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2003-01-01,31.6
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2003-02-01,31.535
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2003-03-01,31.795
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2003-04-01,31.945
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2003-05-01,31.45
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2003-06-01,31.33
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2003-07-01,31.575
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2003-08-01,32.23
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2003-09-01,32.44
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2003-10-01,31.84
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2003-11-01,32.03
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2003-12-01,32.1
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2004-01-01,32.405
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2004-02-01,33.3
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2004-03-01,32.435
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2004-04-01,32.835
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2004-05-01,32.54
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2004-06-01,31.625
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2004-07-01,31.76
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2004-08-01,31.695
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2004-09-01,31.875
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2004-10-01,31.66
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2004-11-01,31.535
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2004-12-01,30.99
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2005-01-01,30.465
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2005-02-01,30.14
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2005-03-01,29.76
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2005-04-01,29.945
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2005-05-01,30.5
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2005-06-01,30.37
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2005-07-01,30.03
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2005-08-01,30.145
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2005-09-01,29.565
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2005-10-01,29.55
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2005-11-01,29.6
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2005-12-01,28.93
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2006-01-01,29.005
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2006-02-01,28.41
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2006-03-01,28.325
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2006-04-01,28.595
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2006-05-01,28.43
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2006-06-01,28.205
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2006-07-01,28.495
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2006-08-01,28.53
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2006-09-01,28.215
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2006-10-01,28.33
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2006-11-01,28.22
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2006-12-01,27.97
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2007-01-01,27.495
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2007-02-01,28.16
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2007-03-01,28.3
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2007-04-01,28.0
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2007-05-01,28.125
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2007-06-01,28.325
