Dataset,Series ID,Partition,Time,Value
Kaggle BTC/USD Hourly,series_0,train,2020-04-15 14:00:00,6792.27
Kaggle BTC/USD Hourly,series_0,train,2020-04-15 15:00:00,6780.48
Kaggle BTC/USD Hourly,series_0,train,2020-04-15 16:00:00,6719.95
Kaggle BTC/USD Hourly,series_0,train,2020-04-15 17:00:00,6733.44
Kaggle BTC/USD Hourly,series_0,train,2020-04-15 18:00:00,6729.31
Kaggle BTC/USD Hourly,series_0,train,2020-04-15 19:00:00,6703.88
Kaggle BTC/USD Hourly,series_0,train,2020-04-15 20:00:00,6739.31
Kaggle BTC/USD Hourly,series_0,train,2020-04-15 21:00:00,6753.45
Kaggle BTC/USD Hourly,series_0,train,2020-04-15 22:00:00,6761.91
Kaggle BTC/USD Hourly,series_0,train,2020-04-15 23:00:00,6733.97
Kaggle BTC/USD Hourly,series_0,train,2020-04-16 00:00:00,6745.4
Kaggle BTC/USD Hourly,series_0,train,2020-04-16 01:00:00,6739.03
Kaggle BTC/USD Hourly,series_0,train,2020-04-16 02:00:00,6715.03
Kaggle BTC/USD Hourly,series_0,train,2020-04-16 03:00:00,6619.0
Kaggle BTC/USD Hourly,series_0,train,2020-04-16 04:00:00,6580.23
Kaggle BTC/USD Hourly,series_0,train,2020-04-16 05:00:00,6623.02
Kaggle BTC/USD Hourly,series_0,train,2020-04-16 06:00:00,6643.12
Kaggle BTC/USD Hourly,series_0,train,2020-04-16 07:00:00,6663.5
Kaggle BTC/USD Hourly,series_0,train,2020-04-16 08:00:00,6630.18
Kaggle BTC/USD Hourly,series_0,train,2020-04-16 09:00:00,6643.81
Kaggle BTC/USD Hourly,series_0,train,2020-04-16 10:00:00,6686.91
Kaggle BTC/USD Hourly,series_0,train,2020-04-16 11:00:00,6900.02
Kaggle BTC/USD Hourly,series_0,train,2020-04-16 12:00:00,7044.68
Kaggle BTC/USD Hourly,series_0,train,2020-04-16 13:00:00,7035.26
Kaggle BTC/USD Hourly,series_0,train,2020-04-16 14:00:00,6969.71
Kaggle BTC/USD Hourly,series_0,train,2020-04-16 15:00:00,7027.65
Kaggle BTC/USD Hourly,series_0,train,2020-04-16 16:00:00,7069.1
Kaggle BTC/USD Hourly,series_0,train,2020-04-16 17:00:00,6986.61
Kaggle BTC/USD Hourly,series_0,train,2020-04-16 18:00:00,7033.26
Kaggle BTC/USD Hourly,series_0,train,2020-04-16 19:00:00,7060.74
Kaggle BTC/USD Hourly,series_0,train,2020-04-16 20:00:00,7010.72
Kaggle BTC/USD Hourly,series_0,train,2020-04-16 21:00:00,7015.1
